COUNTRY,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13
FINLAND,2.94,2.16,2.01,2.09,1.72,0.98,1.06,1.54,1.10,1.06,0.81,1.31,0.86,0.61,0.39,0.36,0.34,0.29,0.22,0.25,0.16,0.16,0.15,0.11,0.15
FRANCE,1.41,1.40,1.20,0.96,0.83,0.76,0.62,0.71,0.59,0.69,0.51,0.47,0.42,0.38,0.30,0.26,0.23,0.22,0.16,0.15,0.15,0.12,0.09,0.08,0.09
GEORGIA,11.07,24.94,30.15,20.39,13.69,3.55,8.06,9.79,3.94,6.49,5.00,3.76,2.27,2.35,1.56,1.02,1.25,0.71,0.50,0.32,0.35,0.32,0.35,0.19,0.13
GERMANY,3.80,3.09,2.74,2.16,1.70,1.45,1.29,1.31,1.15,0.95,0.85,0.77,0.75,0.73,0.55,0.48,0.39,0.32,0.27,0.23,0.22,0.21,0.14,0.15,0.15
GREECE,8.80,7.22,5.88,4.86,4.21,3.04,2.08,2.61,2.34,2.00,1.73,1.55,1.38,1.09,0.83,0.56,0.50,0.40,0.27,0.18,0.14,0.11,0.07,0.06,0.05
GUATEMALA,11.02,10.97,10.39,8.78,6.83,7.08,6.40,14.97,16.27,13.42,13.23,13.53,11.21,8.96,6.14,3.72,3.76,2.89,1.98,2.03,2.17,0.46,0.49,0.31,0.30
HONG KONG,1.18,1.18,1.23,1.15,1.07,1.07,0.93,0.58,1.12,0.49,0.44,0.45,0.40,0.39,0.30,0.23,0.25,0.25,0.20,0.31,0.21,0.17,0.20,0.19,0.17
HUNGARY,2.53,1.58,1.16,0.97,0.89,0.77,0.48,0.61,0.47,0.44,0.40,0.39,0.37,0.30,0.22,0.17,0.16,0.15,0.14,0.11,0.09,0.07,0.08,0.09,0.30
ICELAND,2.29,2.09,2.09,1.92,1.72,1.52,1.05,0.83,0.69,0.53,0.48,0.55,0.46,0.39,0.30,0.61,0.42,0.43,0.32,0.22,0.16,0.15,0.08,0.08,0.11
INDIA,30.30,28.38,27.80,27.27,25.79,26.04,23.10,26.85,25.47,25.28,26.55,30.01,32.74,35.06,34.91,31.24,28.87,27.67,23.35,18.01,13.69,10.87,9.66,8.24,6.80
INDONESIA,50.41,35.93,34.29,21.01,28.38,28.82,23.15,25.19,28.34,26.39,16.01,29.74,27.15,43.00,37.11,30.82,21.83,18.46,14.10,13.84,3.95,2.18,3.86,3.15,1.65
IRAN,55.06,49.77,49.94,47.03,48.26,47.13,37.84,46.99,47.99,44.98,44.75,43.82,41.72,38.21,37.41,28.90,30.78,28.34,24.91,21.69,24.99,15.98,29.48,12.56,9.86
IRELAND,7.71,6.27,6.05,4.83,4.75,4.15,3.33,3.91,3.51,3.19,3.22,3.14,3.06,2.38,1.77,1.55,0.85,0.68,0.62,0.58,0.59,0.51,0.44,0.41,0.33
ISRAEL,0.66,0.61,0.56,0.51,0.45,0.33,0.34,0.55,0.50,0.34,0.20,0.25,0.20,0.25,0.20,0.10,0.11,0.34,0.15,0.95,0.08,0.09,0.14,0.26,0.17
ITALY,3.82,3.41,3.18,2.90,2.57,2.45,2.02,2.03,1.90,1.67,1.54,1.43,1.33,1.07,0.85,0.80,0.76,0.71,0.65,0.60,0.59,0.55,0.40,0.34,0.23
JAPAN,3.05,2.81,2.53,2.24,1.97,1.84,1.57,1.69,1.56,1.45,1.48,1.40,1.34,1.38,1.09,0.99,0.92,1.01,0.87,0.84,0.75,0.77,0.74,0.67,0.58
JORDAN,8.24,20.54,11.77,9.06,4.68,6.47,7.90,11.76,10.51,9.08,5.31,3.56,2.39,1.66,2.71,1.47,0.98,0.87,0.49,0.45,0.37,0.20,0.32,0.21,0.08
KAZAKHSTAN,50.80,55.06,57.61,32.44,22.75,23.48,24.03,26.92,32.14,28.38,11.95,7.69,27.28,22.76,19.74,18.72,17.15,12.78,9.40,9.28,6.65,5.94,5.84,4.01,3.22
KENYA,72.55,65.46,63.14,60.20,56.38,58.87,63.17,83.64,61.22,42.31,57.97,47.76,41.91,16.38,12.86,10.48,10.17,10.05,11.14,2.14,1.70,1.38,5.54,2.88,3.00
KUWAIT,16.23,7.83,6.26,2.21,5.96,6.79,4.63,5.87,8.11,8.59,7.07,7.04,4.04,3.82,3.00,2.48,2.23,2.51,1.89,1.36,1.07,0.78,0.76,0.78,0.32
LATVIA,2.82,3.27,2.48,1.95,1.76,1.34,1.30,1.53,1.17,0.89,0.66,0.48,0.46,0.55,0.61,0.33,0.31,0.33,0.23,0.22,0.15,0.15,0.09,0.07,0.08
LEBANON,50.41,60.13,60.22,55.96,45.78,45.65,47.09,66.57,67.88,67.18,69.43,71.37,69.78,66.16,60.22,55.79,49.24,2.18,1.12,0.78,0.68,0.46,0.47,0.41,0.37
LITHUANIA,9.58,6.21,5.95,5.38,5.66,4.71,4.45,5.97,6.02,3.95,3.19,2.09,1.60,1.58,1.43,0.79,0.75,0.72,0.65,0.48,0.29,0.29,0.27,0.26,0.32
LUXEMBOURG,4.92,3.92,4.22,3.35,3.67,3.31,2.04,2.76,2.29,1.53,1.43,1.16,1.17,1.13,0.32,0.37,0.47,0.34,0.24,0.26,0.24,0.22,0.18,0.17,0.15
MACAO,6.31,2.79,1.98,1.68,1.23,1.15,1.19,1.13,0.82,0.77,0.88,0.67,0.34,0.52,0.19,0.17,0.11,0.13,0.05,0.16,0.05,0.03,0.13,0.08,0.03
MACEDONIA,12.70,6.84,4.50,4.23,3.37,3.66,2.87,3.45,1.88,1.50,0.99,0.92,0.77,0.52,0.32,0.26,0.22,0.20,0.12,0.09,0.11,0.16,0.08,0.05,0.05
MALAYSIA,19.37,16.64,16.57,15.41,13.50,12.10,10.67,11.21,9.49,11.73,9.91,6.18,4.45,5.10,2.64,2.21,1.69,1.31,2.40,0.95,0.44,0.34,0.26,0.26,0.19
MALTA,6.34,4.48,4.14,6.37,3.63,1.65,1.66,3.22,2.61,2.02,1.57,1.21,0.69,0.55,0.40,0.19,0.26,0.15,0.13,0.11,0.09,0.08,0.07,0.02,0.04
MAURITIUS,73.18,79.69,55.18,59.95,30.00,27.67,14.86,21.86,22.03,19.91,19.80,17.36,15.86,13.20,11.64,9.75,9.00,6.09,5.70,3.87,4.17,4.07,2.85,3.63,3.49
MEXICO,7.48,5.83,5.09,4.39,4.06,3.71,3.47,3.38,3.15,2.57,2.14,1.77,2.02,1.57,1.57,1.09,1.08,0.82,0.79,0.68,0.53,0.50,0.48,0.44,0.42
MOLDOVA REPUBLIC OF,33.00,27.17,17.18,11.89,9.28,8.75,8.06,12.19,6.00,2.32,2.15,1.76,1.46,1.11,0.93,0.72,0.76,0.63,0.61,0.35,0.26,0.21,0.14,0.11,0.14
MOROCCO,4.28,2.13,2.84,1.80,2.94,1.82,1.89,1.48,2.08,2.41,1.72,1.07,1.14,1.37,1.22,2.17,8.84,7.77,7.16,1.76,0.56,0.87,0.75,0.60,0.27
NEPAL,38.37,26.19,32.21,34.24,33.59,73.98,37.30,81.10,84.64,80.79,56.99,59.97,60.31,59.85,36.35,34.32,33.43,7.66,10.07,2.96,3.58,3.06,5.69,4.29,0.56
NETHERLANDS,1.75,1.64,1.57,1.04,0.97,0.92,0.95,0.96,0.91,0.87,0.87,0.80,0.89,0.66,0.47,0.34,0.51,0.47,0.33,0.27,0.28,0.27,0.25,0.25,0.24
NEW ZEALAND,14.16,12.40,11.71,10.16,8.38,7.73,7.29,8.04,7.44,7.01,6.39,6.25,5.39,5.13,4.48,4.09,3.34,3.22,2.81,2.61,2.31,2.43,1.78,1.53,1.33
NORWAY,1.55,1.40,1.19,1.14,1.09,1.13,1.07,1.46,1.21,1.18,1.16,1.10,1.07,0.95,0.94,0.85,0.62,0.52,0.58,0.75,0.49,0.46,0.19,0.17,0.15
PAKISTAN,51.77,46.78,45.66,31.83,33.58,26.89,24.15,26.34,26.51,17.16,13.55,9.48,9.12,6.63,4.60,3.65,2.66,1.90,1.22,0.96,0.80,0.60,1.06,0.39,0.38
PALESTINE,24.79,28.84,27.50,14.93,13.82,19.10,20.02,48.73,70.09,24.48,13.97,12.08,11.01,12.85,7.21,4.71,4.99,7.02,6.12,5.89,6.04,4.88,4.18,1.05,0.24
PANAMA,32.91,27.11,24.08,18.13,15.38,13.01,11.90,13.93,10.19,7.38,6.30,6.29,2.95,2.29,1.93,1.22,1.12,0.78,0.89,0.72,0.56,0.56,0.35,0.30,0.27
PARAGUAY,81.40,85.12,82.22,79.94,63.97,50.33,34.17,58.12,55.06,25.41,28.75,24.77,12.71,10.50,6.47,3.51,2.21,1.46,1.15,0.91,0.66,0.66,0.45,0.31,0.21
PERU,7.16,6.19,5.89,4.59,4.23,3.89,3.85,5.87,3.93,3.21,3.32,2.65,2.21,1.75,1.43,1.01,0.92,0.93,0.87,0.59,0.54,0.50,0.45,0.52,0.25
PHILIPPINES,16.80,14.18,14.01,9.50,8.26,7.02,6.15,7.54,8.08,8.59,7.30,7.73,5.01,5.99,3.36,2.50,2.70,1.92,1.80,1.57,1.14,0.88,0.84,0.56,0.42
POLAND,3.70,2.99,2.47,1.74,1.56,1.59,1.92,1.86,1.47,1.21,1.08,0.88,0.79,0.70,0.44,0.33,0.23,0.22,0.28,0.22,0.17,0.16,0.13,0.11,0.08
PORTUGAL,2.92,2.51,1.94,1.59,1.20,1.12,0.91,1.07,0.90,0.73,0.69,0.64,0.45,0.50,0.18,0.18,0.20,0.22,0.28,0.09,0.10,0.07,0.06,0.06,0.07
PUERTO RICO,8.84,8.06,5.93,5.03,4.23,3.67,1.97,4.31,4.00,3.24,2.98,2.60,2.35,2.26,1.68,1.31,1.24,0.98,1.05,1.53,1.45,1.40,1.15,0.77,0.33
QATAR,12.04,9.45,9.60,5.78,4.78,2.78,2.21,2.65,2.08,2.28,2.31,1.07,1.16,0.68,0.55,0.37,0.49,0.53,0.51,0.48,0.45,0.54,0.21,0.18,0.14
REUNION,1.58,4.16,3.30,3.91,1.70,2.12,1.80,1.79,1.69,2.77,6.32,1.47,1.11,1.05,0.96,0.57,0.40,0.49,0.49,0.49,0.50,0.45,2.38,5.58,0.00
ROMANIA,2.65,1.89,1.43,1.33,0.85,0.74,0.55,0.75,0.72,0.63,0.76,0.58,0.47,0.39,0.23,0.19,0.14,0.07,0.06,0.06,0.04,0.04,0.06,0.05,0.07
RUSSIA,19.10,18.53,18.16,16.94,17.76,18.10,17.26,17.85,14.42,10.83,11.30,6.99,6.51,5.93,4.55,3.81,3.82,3.64,2.18,1.94,0.99,0.76,0.96,0.38,0.33
SAUDI ARABIA,10.26,5.32,3.89,4.07,4.23,5.71,3.47,0.92,0.86,0.65,1.06,0.92,1.08,0.70,0.32,0.22,0.48,0.54,0.35,0.27,0.27,0.28,0.24,0.18,0.13
SERBIA,24.95,18.87,16.09,12.43,10.63,8.71,7.34,8.19,7.70,7.06,5.08,4.04,3.78,3.34,2.46,2.24,2.04,1.81,1.59,1.40,1.31,1.16,0.94,0.78,0.53
SINGAPORE,5.76,4.48,3.01,2.70,1.75,1.09,1.25,0.97,1.02,0.61,0.75,0.62,0.58,0.64,0.35,0.34,0.27,0.45,0.36,0.25,0.26,0.18,0.17,0.33,0.14
SLOVAKIA,3.77,4.19,2.34,2.24,1.97,1.65,1.31,1.61,0.95,0.65,0.47,0.50,0.44,1.38,1.32,1.78,1.12,0.58,0.41,0.18,0.12,0.44,0.79,0.26,0.08
SLOVENIA,3.72,2.81,2.33,2.07,1.40,1.12,1.14,1.75,1.68,1.23,1.14,0.90,0.84,0.73,0.49,0.58,0.60,0.47,0.29,0.30,0.24,0.23,0.23,0.19,0.16
SOUTH AFRICA,23.10,20.63,12.29,12.60,13.45,12.09,14.53,11.48,12.33,11.12,9.83,11.57,11.10,7.37,5.19,5.06,4.71,5.26,4.72,5.52,4.99,3.86,3.47,2.44,2.80
SOUTH KOREA,0.27,0.13,0.19,0.19,0.20,0.17,0.41,0.22,0.23,0.25,0.27,0.25,0.24,0.41,0.44,0.50,0.31,0.20,0.18,0.18,0.15,0.15,0.18,0.17,0.10
SPAIN,3.08,2.68,2.20,1.93,1.74,1.56,1.46,1.68,1.41,1.34,1.22,0.99,0.90,0.76,0.61,0.66,0.55,0.67,0.69,0.59,0.60,0.50,0.47,0.44,0.21
SRI LANKA,33.38,35.57,32.19,43.74,23.17,22.25,20.96,20.28,20.26,11.31,7.64,7.33,7.73,6.46,3.86,3.26,3.29,8.04,7.00,7.06,4.29,2.57,1.77,1.84,1.73
SWEDEN,3.53,3.10,3.26,2.40,2.38,1.93,1.63,2.12,2.07,1.87,1.87,1.56,1.59,1.35,0.75,0.54,0.75,0.53,0.55,0.63,0.37,0.34,0.28,0.22,0.24
SWITZERLAND,2.59,2.44,2.93,1.95,1.85,1.70,1.59,0.83,0.85,0.76,0.72,0.63,0.60,0.56,0.46,0.42,0.32,0.30,0.30,0.25,0.23,0.21,0.11,0.12,0.11
SYRIA,74.62,73.03,76.12,75.69,71.90,70.81,69.13,62.44,68.96,37.64,20.65,27.60,33.69,25.30,19.63,19.30,17.55,13.38,9.11,6.43,5.84,5.60,3.22,2.35,2.31
TAIWAN,1.51,1.64,2.12,1.95,1.44,1.54,1.62,1.65,1.40,1.63,1.20,1.12,0.72,0.56,0.28,0.45,0.22,0.41,0.49,0.49,0.11,0.25,0.27,0.10,0.08
THAILAND,19.75,19.03,18.15,20.20,17.14,11.09,10.83,13.29,15.29,8.05,6.34,4.58,4.63,4.31,1.94,1.77,2.67,3.20,1.02,0.86,0.67,0.63,0.85,0.21,0.17
TRINIDAD AND TOBAGO,31.56,21.34,17.65,13.15,11.06,10.86,9.32,8.77,8.18,6.96,6.78,6.46,6.14,4.09,5.14,3.41,4.30,2.37,2.16,1.82,1.69,1.64,1.43,1.17,0.85
TUNISIA,8.89,0.82,1.94,0.30,0.21,0.40,0.26,0.28,0.31,0.14,0.18,0.13,0.14,0.12,1.12,0.97,0.62,0.95,0.61,0.60,1.09,1.18,0.51,0.36,0.30
TURKEY,2.25,2.01,1.48,1.10,0.97,0.84,0.92,1.31,0.79,0.49,0.46,0.34,0.44,0.36,0.47,0.51,0.44,0.33,0.28,0.22,0.22,0.48,0.18,0.07,0.07
U.S. - ALABAMA,4.33,4.19,3.84,3.03,2.94,2.90,2.41,3.28,3.13,2.66,2.48,2.44,2.25,2.23,1.81,1.66,1.61,1.45,1.19,1.13,1.01,0.93,0.86,0.81,0.54
U.S. - ALASKA,12.08,11.37,10.28,9.71,9.59,8.26,7.35,9.72,9.20,8.72,7.91,7.58,5.51,5.20,3.99,3.90,3.21,2.97,2.86,2.19,1.88,1.78,1.34,1.05,0.93
U.S. - ARIZONA,6.52,5.90,5.83,4.99,4.49,3.89,3.25,3.90,3.36,2.84,2.82,2.51,2.70,2.81,1.65,1.34,1.17,1.05,1.00,1.24,0.87,0.85,0.74,0.68,0.57
U.S. - ARKANSAS,5.67,4.97,4.49,3.84,4.47,4.34,4.20,5.41,4.82,4.16,3.28,2.62,2.44,2.40,1.72,1.72,1.20,1.18,1.11,1.03,1.20,1.08,0.68,0.44,0.47
U.S. - CALIFORNIA,4.78,4.45,4.23,4.05,3.61,3.42,2.84,3.08,2.72,2.39,2.27,2.08,2.06,2.00,1.60,1.47,1.36,1.26,1.12,0.98,0.93,0.87,0.63,0.57,0.49
U.S. - COLORADO,12.42,11.34,10.72,9.92,8.79,7.23,5.43,5.46,4.81,4.44,4.14,3.75,3.71,3.57,3.01,2.75,2.39,2.28,1.72,1.69,1.43,1.32,1.14,1.06,0.79
U.S. - CONNECTICUT,3.05,2.65,2.58,2.37,2.23,1.94,1.47,1.52,1.44,1.36,1.27,1.27,1.21,1.20,1.02,0.98,0.76,0.74,0.65,0.58,0.46,0.49,0.39,0.38,0.22
U.S. - DELAWARE,0.71,0.73,0.67,0.64,0.57,0.49,0.30,0.48,0.37,0.36,0.37,0.36,0.45,0.33,0.10,0.10,0.11,0.11,0.11,0.11,0.33,0.10,0.08,0.06,0.04
U.S. - DISTRICT OF COLUMBIA,14.09,14.08,13.68,12.77,12.00,11.40,9.38,10.47,9.45,8.68,7.98,7.28,6.93,6.61,5.47,4.96,4.80,4.53,3.99,3.86,3.36,3.32,2.76,2.53,3.49
U.S. - FLORIDA,5.27,5.09,4.90,4.39,4.05,3.90,3.29,3.52,2.83,2.57,2.48,2.40,2.14,2.08,1.69,1.50,1.46,1.52,1.20,1.13,0.97,0.83,0.71,0.68,0.51
U.S. - GEORGIA,8.65,8.38,8.05,7.51,7.21,6.83,5.59,5.77,4.75,4.23,3.97,3.69,3.67,3.74,2.94,2.78,2.69,2.63,2.34,2.43,1.95,2.15,1.87,1.70,1.29
U.S. - HAWAII,1.71,1.55,1.58,1.39,1.02,1.06,0.79,1.12,1.01,1.01,0.81,0.56,0.45,0.47,0.32,0.27,0.28,0.24,0.21,0.19,0.16,0.17,0.18,0.17,0.12
U.S. - IDAHO,4.57,4.29,3.75,3.23,2.52,2.35,1.67,2.91,2.93,2.74,2.60,2.51,2.29,2.11,1.45,1.38,0.98,0.73,0.69,0.66,0.57,0.58,0.51,0.40,0.29
U.S. - ILLINOIS,8.83,7.90,7.51,7.05,6.54,6.21,5.40,5.91,4.88,4.52,4.33,4.10,3.99,3.81,3.14,2.99,2.90,2.81,2.44,2.58,1.97,1.88,1.59,1.46,1.03
U.S. - INDIANA,5.15,5.15,4.39,3.94,3.54,3.42,2.93,3.69,3.22,3.16,3.07,2.80,2.78,2.81,2.31,2.22,2.04,1.96,1.70,1.69,1.35,1.28,1.01,0.89,0.65
U.S. - IOWA,7.18,6.84,6.39,6.06,5.75,4.49,3.54,4.89,5.01,4.83,4.50,4.31,3.73,3.66,2.88,2.82,2.56,2.18,1.87,1.86,1.53,1.67,1.36,1.03,0.85
U.S. - KANSAS,1.84,1.76,1.65,1.58,1.65,1.38,1.24,1.83,1.75,2.07,2.21,2.08,1.99,4.58,0.95,0.76,3.21,0.88,0.35,0.46,0.38,0.41,0.36,0.34,0.17
U.S. - KENTUCKY,4.82,5.06,4.74,5.72,4.83,4.70,3.81,5.81,5.37,4.54,3.62,3.59,2.97,2.70,2.39,2.15,1.82,1.60,1.40,1.44,1.25,0.74,0.61,0.56,0.46
U.S. - LOUISIANA,2.97,2.74,2.55,2.42,2.27,2.18,1.64,1.81,1.65,1.68,1.49,1.23,1.18,1.20,0.98,0.85,0.85,0.80,0.69,0.68,0.64,0.66,0.53,0.47,0.40
U.S. - MAINE,3.51,3.26,2.67,2.40,2.30,2.04,1.39,2.03,1.80,1.77,1.71,1.90,1.72,1.79,1.36,1.15,1.00,0.80,0.87,0.78,0.79,0.76,0.79,0.63,0.51
U.S. - MARYLAND,5.47,5.09,4.81,4.13,3.88,3.63,3.20,3.16,3.06,2.68,2.70,2.50,2.05,2.26,1.44,1.43,1.29,0.95,0.67,0.66,0.65,0.59,0.45,0.46,0.22
U.S. - MASSACHUSETTS,5.40,5.36,5.05,4.40,3.97,3.77,3.12,3.60,3.17,2.91,2.73,2.52,2.38,2.27,1.81,1.74,1.57,1.71,1.40,1.41,1.19,1.12,0.98,0.98,0.51
U.S. - MICHIGAN,6.34,5.99,5.81,5.32,4.91,4.71,3.85,4.37,3.46,3.19,3.04,2.98,2.77,2.72,2.45,2.33,2.14,2.05,1.73,1.57,1.30,1.18,0.95,0.92,0.61
U.S. - MINNESOTA,5.14,4.58,4.45,3.75,3.46,3.04,2.29,3.20,2.94,2.78,2.60,2.45,2.19,2.22,2.01,1.75,1.44,1.31,1.14,1.08,0.89,0.89,0.85,0.67,0.56
U.S. - MISSISSIPPI,8.69,8.70,8.16,8.12,7.93,7.82,5.92,7.73,5.85,3.95,3.18,1.97,1.93,2.03,1.55,1.22,1.11,1.01,0.97,1.00,0.82,0.74,0.63,0.65,0.43
U.S. - MISSOURI,10.52,10.14,10.01,9.25,8.87,7.97,6.89,8.19,7.49,6.53,6.30,5.83,5.90,5.55,4.38,4.06,4.00,4.03,3.55,3.83,2.68,2.45,2.10,1.89,1.53
U.S. - MONTANA,4.67,4.33,3.85,3.80,3.39,2.95,2.49,3.75,3.92,3.10,2.84,2.60,2.21,2.23,1.78,1.70,1.51,1.32,1.10,1.25,1.02,0.78,0.79,0.63,0.61
U.S. - NEBRASKA,4.63,4.22,3.73,3.30,2.87,2.46,2.06,2.65,1.71,1.61,1.43,1.28,1.08,1.02,0.81,0.72,0.62,0.57,0.50,0.40,0.34,0.33,0.27,0.29,0.23
U.S. - NEVADA,1.11,0.67,0.59,0.55,0.51,0.50,0.38,0.45,0.45,0.51,0.44,0.52,0.42,0.39,0.30,0.21,0.22,0.17,0.12,0.14,0.15,0.13,0.13,0.09,0.08
U.S. - NEW HAMPSHIRE,4.45,3.95,3.71,3.27,3.33,2.86,2.49,3.13,2.70,2.41,2.05,1.95,1.85,1.68,1.43,1.32,1.21,0.92,0.91,0.85,0.84,0.80,0.34,0.29,0.22
U.S. - NEW JERSEY,2.97,2.90,2.67,2.32,2.06,1.98,1.70,1.95,1.90,1.74,1.58,1.46,1.48,1.42,1.01,0.91,0.88,1.06,0.83,0.85,0.74,0.68,0.49,0.45,0.33
U.S. - NEW MEXICO,8.14,7.56,7.02,6.14,5.37,4.62,3.13,2.54,1.87,1.79,1.56,1.37,1.18,1.23,0.88,0.73,0.65,0.52,0.51,0.42,0.36,0.34,0.23,0.15,0.21
